time,p_inlet,p_outlet,delta_p
1.042,5.24767,0.650266,4.597404
1.044,5.24767,0.650266,4.597404
1.046,5.24767,0.650265,4.597405
1.048,5.24767,0.650265,4.597405
1.05,5.24767,0.650266,4.597404
1.052,5.24767,0.650266,4.597404
1.054,5.24767,0.650265,4.597405
1.056,5.24767,0.650265,4.597405
1.058,5.24767,0.650266,4.597404
1.06,5.24767,0.650266,4.597404
1.062,5.24767,0.650266,4.597404
1.064,5.24767,0.650266,4.597404
1.066,5.24767,0.650266,4.597404
1.068,5.24767,0.650266,4.597404
1.07,5.24767,0.650266,4.597404
1.072,5.24767,0.650266,4.597404
1.074,5.24767,0.650266,4.597404
1.076,5.24767,0.650265,4.597405
1.078,5.24767,0.650265,4.597405
1.08,5.24767,0.650266,4.597404
1.082,5.24767,0.650266,4.597404
1.084,5.24767,0.650265,4.597405
1.086,5.24767,0.650265,4.597405
1.088,5.24767,0.650266,4.597404
1.09,5.24767,0.650266,4.597404
1.092,5.24767,0.650266,4.597404
1.094,5.24767,0.650266,4.597404
1.096,5.24767,0.650266,4.597404
1.098,5.24767,0.650266,4.597404
1.1,5.24767,0.650266,4.597404
1.102,5.24767,0.650266,4.597404
1.104,5.24767,0.650266,4.597404
1.106,5.24767,0.650265,4.597405
1.108,5.24767,0.650265,4.597405
1.11,5.24767,0.650266,4.597404
1.112,5.24767,0.650266,4.597404
1.114,5.24767,0.650265,4.597405
1.116,5.24767,0.650265,4.597405
1.118,5.24767,0.650266,4.597404
1.12,5.24767,0.650266,4.597404
1.122,5.24767,0.650266,4.597404
1.124,5.24767,0.650265,4.597405
1.126,5.24767,0.650265,4.597405
1.128,5.24767,0.650266,4.597404
1.13,5.24767,0.650266,4.597404
1.132,5.24767,0.650266,4.597404
1.134,5.24767,0.650266,4.597404
1.136,5.24767,0.650265,4.597405
1.138,5.24767,0.650265,4.597405
1.14,5.24767,0.650266,4.597404
1.142,5.24767,0.650266,4.597404
1.144,5.24767,0.650266,4.597404
1.146,5.24767,0.650265,4.597405
1.148,5.24767,0.650265,4.597405
1.15,5.24767,0.650266,4.597404
1.152,5.24767,0.650266,4.597404
1.154,5.24767,0.650265,4.597405
1.156,5.24767,0.650265,4.597405
1.158,5.24767,0.650266,4.597404
1.16,5.24767,0.650266,4.597404
1.162,5.24767,0.650266,4.597404
1.164,5.24767,0.650266,4.597404
1.166,5.24767,0.650265,4.597405
1.168,5.24767,0.650265,4.597405
1.17,5.24767,0.650266,4.597404
1.172,5.24767,0.650266,4.597404
1.174,5.24767,0.650266,4.597404
1.176,5.24767,0.650265,4.597405
1.178,5.24767,0.650265,4.597405
1.18,5.24767,0.650266,4.597404
1.182,5.24767,0.650266,4.597404
1.184,5.24767,0.650265,4.597405
1.186,5.24767,0.650265,4.597405
1.188,5.24767,0.650266,4.597404
1.19,5.24767,0.650266,4.597404
1.192,5.24767,0.650266,4.597404
1.194,5.24767,0.650266,4.597404
1.196,5.24767,0.650266,4.597404
1.198,5.24767,0.650265,4.597405
1.2,5.24767,0.650265,4.597405
1.202,5.24767,0.650266,4.597404
1.204,5.24767,0.650266,4.597404
1.206,5.24767,0.650265,4.597405
1.208,5.24767,0.650265,4.597405
1.21,5.24767,0.650266,4.597404
1.212,5.24767,0.650266,4.597404
1.214,5.24767,0.650265,4.597405
1.216,5.24767,0.650265,4.597405
1.218,5.24767,0.650265,4.597405
1.22,5.24767,0.650266,4.597404
1.222,5.24767,0.650266,4.597404
1.224,5.24767,0.650266,4.597404
1.226,5.24767,0.650266,4.597404
1.228,5.24767,0.650266,4.597404
1.23,5.24767,0.650266,4.597404
1.232,5.24767,0.650266,4.597404
1.234,5.24767,0.650266,4.597404
1.236,5.24767,0.650265,4.597405
1.238,5.24767,0.650265,4.597405
1.24,5.24767,0.650266,4.597404
1.242,5.24767,0.650266,4.597404
1.244,5.24767,0.650265,4.597405
1.246,5.24767,0.650265,4.597405
1.248,5.24767,0.650265,4.597405
1.25,5.24767,0.650266,4.597404
1.252,5.24767,0.650266,4.597404
1.254,5.24767,0.650265,4.597405
1.256,5.24767,0.650265,4.597405
1.258,5.24767,0.650266,4.597404
1.26,5.24767,0.650266,4.597404
1.262,5.24767,0.650266,4.597404
1.264,5.24767,0.650266,4.597404
1.266,5.24767,0.650265,4.597405
1.268,5.24767,0.650265,4.597405
1.27,5.24767,0.650265,4.597405
1.272,5.24767,0.650266,4.597404
1.274,5.24767,0.650266,4.597404
1.276,5.24767,0.650265,4.597405
1.278,5.24767,0.650265,4.597405
1.28,5.24767,0.650266,4.597404
1.282,5.24767,0.650266,4.597404
1.284,5.24767,0.650265,4.597405
1.286,5.24767,0.650265,4.597405
1.288,5.24767,0.650266,4.597404
1.29,5.24767,0.650266,4.597404
1.292,5.24767,0.650266,4.597404
1.294,5.24767,0.650266,4.597404
1.296,5.24767,0.650266,4.597404
